date 20110624, 20high 4894.0,20low 4672.0,10high 4868.0 10low 4672.0,Today high 4750.0, low 4713.0, position -1 , N 42.093585902
date 20110627, 20high 4894.0,20low 4672.0,10high 4840.0 10low 4672.0,Today high 4735.0, low 4702.0, position -1 , N 41.8389066069
date 20110628, 20high 4894.0,20low 4672.0,10high 4826.0 10low 4672.0,Today high 4718.0, low 4695.0, position -1 , N 41.3969612765
date 20110629, 20high 4894.0,20low 4672.0,10high 4825.0 10low 4672.0,Today high 4730.0, low 4707.0, position -1 , N 40.4771132127
date 20110630, 20high 4888.0,20low 4672.0,10high 4798.0 10low 4672.0,Today high 4754.0, low 4729.0, position -1 , N 39.6532575521
date 20110701, 20high 4888.0,20low 4672.0,10high 4788.0 10low 4672.0,Today high 4748.0, low 4722.0, position -1 , N 39.0705946745
date 20110704, 20high 4888.0,20low 4672.0,10high 4754.0 10low 4672.0,Today high 4799.0, low 4731.0, position -1 , N 38.6170649407
date 20110705, 20high 4888.0,20low 4672.0,10high 4799.0 10low 4672.0,Today high 4819.0, low 4784.0, position 0 , N 40.3362116937
date 20110706, 20high 4888.0,20low 4672.0,10high 4819.0 10low 4683.0,Today high 4817.0, low 4786.0, position 0 , N 40.069401109
date 20110707, 20high 4877.0,20low 4672.0,10high 4819.0 10low 4683.0,Today high 4827.0, low 4803.0, position 0 , N 39.6159310536
date 20110708, 20high 4868.0,20low 4672.0,10high 4827.0 10low 4695.0,Today high 4833.0, low 4809.0, position 0 , N 38.8351345009
date 20110711, 20high 4840.0,20low 4672.0,10high 4833.0 10low 4695.0,Today high 4869.0, low 4803.0, position 0 , N 38.0933777758
date 20110712, 20high 4869.0,20low 4672.0,10high 4869.0 10low 4695.0,Today high 4876.0, low 4840.0, position 1 , N 39.488708887
date 20110713, 20high 4876.0,20low 4672.0,10high 4876.0 10low 4707.0,Today high 4894.0, low 4861.0, position 1 , N 39.3142734427
date 20110714, 20high 4894.0,20low 4672.0,10high 4894.0 10low 4722.0,Today high 4890.0, low 4866.0, position 1 , N 39.3985597706
date 20110715, 20high 4894.0,20low 4672.0,10high 4894.0 10low 4722.0,Today high 4881.0, low 4851.0, position 1 , N 38.628631782
date 20110718, 20high 4894.0,20low 4672.0,10high 4894.0 10low 4731.0,Today high 4921.0, low 4873.0, position 1 , N 38.1972001929
date 20110719, 20high 4921.0,20low 4672.0,10high 4921.0 10low 4784.0,Today high 4917.0, low 4884.0, position 1 , N 38.8873401833
date 20110720, 20high 4921.0,20low 4683.0,10high 4921.0 10low 4786.0,Today high 4935.0, low 4915.0, position 1 , N 38.5929731741
date 20110721, 20high 4935.0,20low 4683.0,10high 4935.0 10low 4803.0,Today high 4924.0, low 4908.0, position 1 , N 37.7133245154
date 20110722, 20high 4935.0,20low 4695.0,10high 4935.0 10low 4803.0,Today high 4930.0, low 4911.0, position 1 , N 36.6276582896
date 20110725, 20high 4935.0,20low 4695.0,10high 4935.0 10low 4803.0,Today high 4922.0, low 4870.0, position 1 , N 35.7962753752
date 20110726, 20high 4935.0,20low 4695.0,10high 4935.0 10low 4840.0,Today high 4897.0, low 4869.0, position 1 , N 36.6564616064
date 20110727, 20high 4935.0,20low 4707.0,10high 4935.0 10low 4851.0,Today high 4922.0, low 4901.0, position 1 , N 36.2236385261
date 20110728, 20high 4935.0,20low 4722.0,10high 4935.0 10low 4851.0,Today high 4936.0, low 4887.0, position 1 , N 35.7124565998
date 20110729, 20high 4936.0,20low 4722.0,10high 4936.0 10low 4851.0,Today high 4944.0, low 4920.0, position 1 , N 36.3768337698
date 20110801, 20high 4944.0,20low 4731.0,10high 4944.0 10low 4869.0,Today high 4974.0, low 4940.0, position 1 , N 35.7579920813
date 20110802, 20high 4974.0,20low 4784.0,10high 4974.0 10low 4869.0,Today high 4973.0, low 4954.0, position 1 , N 36.4200924772
date 20110803, 20high 4974.0,20low 4786.0,10high 4974.0 10low 4869.0,Today high 4984.0, low 4956.0, position 1 , N 35.5490878534
date 20110804, 20high 4984.0,20low 4803.0,10high 4984.0 10low 4869.0,Today high 4965.0, low 4949.0, position 1 , N 35.1716334607
date 20110805, 20high 4984.0,20low 4803.0,10high 4984.0 10low 4869.0,Today high 4904.0, low 4851.0, position 1 , N 34.2130517877
date 20110808, 20high 4984.0,20low 4803.0,10high 4984.0 10low 4851.0,Today high 4851.0, low 4814.0, position 0 , N 37.4523991983
date 20110809, 20high 4984.0,20low 4814.0,10high 4984.0 10low 4814.0,Today high 4811.0, low 4666.0, position 0 , N 37.6797792384
date 20110809, short price 4763.0
date 20110810, 20high 4984.0,20low 4666.0,10high 4984.0 10low 4666.0,Today high 4846.0, low 4798.0, position -1 , N 44.0457902765
date 20110811, 20high 4984.0,20low 4666.0,10high 4984.0 10low 4666.0,Today high 4840.0, low 4794.0, position -1 , N 44.2435007626
date 20110812, 20high 4984.0,20low 4666.0,10high 4984.0 10low 4666.0,Today high 4859.0, low 4837.0, position -1 , N 44.3313257245
date 20110815, 20high 4984.0,20low 4666.0,10high 4984.0 10low 4666.0,Today high 4879.0, low 4857.0, position 0 , N 43.5147594383
date 20110816, 20high 4984.0,20low 4666.0,10high 4984.0 10low 4666.0,Today high 4891.0, low 4849.0, position 0 , N 43.0890214664
date 20110817, 20high 4984.0,20low 4666.0,10high 4984.0 10low 4666.0,Today high 4884.0, low 4857.0, position 0 , N 43.034570393
date 20110818, 20high 4984.0,20low 4666.0,10high 4965.0 10low 4666.0,Today high 4893.0, low 4848.0, position 0 , N 42.2328418734
date 20110819, 20high 4984.0,20low 4666.0,10high 4904.0 10low 4666.0,Today high 4840.0, low 4815.0, position 0 , N 42.3711997797
date 20110822, 20high 4984.0,20low 4666.0,10high 4893.0 10low 4666.0,Today high 4866.0, low 4832.0, position 0 , N 42.0026397907
date 20110823, 20high 4984.0,20low 4666.0,10high 4893.0 10low 4666.0,Today high 4856.0, low 4832.0, position 0 , N 41.6025078012
date 20110824, 20high 4984.0,20low 4666.0,10high 4893.0 10low 4794.0,Today high 4862.0, low 4842.0, position 0 , N 40.7223824111
date 20110825, 20high 4984.0,20low 4666.0,10high 4893.0 10low 4794.0,Today high 4847.0, low 4812.0, position 0 , N 39.6862632906
date 20110826, 20high 4984.0,20low 4666.0,10high 4893.0 10low 4812.0,Today high 4839.0, low 4808.0, position 0 , N 39.4519501261
date 20110829, 20high 4984.0,20low 4666.0,10high 4893.0 10low 4808.0,Today high 4819.0, low 4780.0, position 0 , N 39.0293526197
date 20110830, 20high 4984.0,20low 4666.0,10high 4893.0 10low 4780.0,Today high 4832.0, low 4789.0, position 0 , N 39.0278849888
date 20110831, 20high 4984.0,20low 4666.0,10high 4893.0 10low 4780.0,Today high 4851.0, low 4828.0, position 0 , N 39.4264907393
date 20110901, 20high 4965.0,20low 4666.0,10high 4893.0 10low 4780.0,Today high 4855.0, low 4836.0, position 0 , N 38.7551662024
date 20110902, 20high 4904.0,20low 4666.0,10high 4866.0 10low 4780.0,Today high 4844.0, low 4825.0, position 0 , N 37.7674078922
date 20110905, 20high 4893.0,20low 4666.0,10high 4866.0 10low 4780.0,Today high 4849.0, low 4792.0, position 0 , N 36.8290374976
date 20110906, 20high 4893.0,20low 4666.0,10high 4862.0 10low 4780.0,Today high 4811.0, low 4795.0, position 0 , N 37.8375856227
date 20110907, 20high 4893.0,20low 4780.0,10high 4862.0 10low 4780.0,Today high 4844.0, low 4814.0, position 0 , N 36.7957063416
date 20110908, 20high 4893.0,20low 4780.0,10high 4855.0 10low 4780.0,Today high 4844.0, low 4811.0, position 0 , N 36.9059210245
date 20110909, 20high 4893.0,20low 4780.0,10high 4855.0 10low 4780.0,Today high 4821.0, low 4796.0, position 0 , N 36.7106249733
date 20110913, 20high 4893.0,20low 4780.0,10high 4855.0 10low 4780.0,Today high 4804.0, low 4776.0, position 0 , N 36.1250937246
date 20110913, short price 4780.0
date 20110914, 20high 4893.0,20low 4776.0,10high 4855.0 10low 4776.0,Today high 4802.0, low 4751.0, position -1 , N 35.7188390384
date 20110915, 20high 4893.0,20low 4751.0,10high 4855.0 10low 4751.0,Today high 4775.0, low 4745.0, position -1 , N 36.4828970865
date 20110916, 20high 4893.0,20low 4745.0,10high 4855.0 10low 4745.0,Today high 4765.0, low 4727.0, position -1 , N 36.1587522322
date 20110919, 20high 4866.0,20low 4727.0,10high 4849.0 10low 4727.0,Today high 4715.0, low 4621.0, position -1 , N 36.2508146206
date 20110920, 20high 4866.0,20low 4621.0,10high 4849.0 10low 4621.0,Today high 4628.0, low 4592.0, position -1 , N 40.2882738895
date 20110921, 20high 4862.0,20low 4592.0,10high 4844.0 10low 4592.0,Today high 4656.0, low 4604.0, position -1 , N 40.073860195
date 20110922, 20high 4862.0,20low 4592.0,10high 4844.0 10low 4592.0,Today high 4610.0, low 4564.0, position -1 , N 40.6701671853
date 20110923, 20high 4855.0,20low 4564.0,10high 4844.0 10low 4564.0,Today high 4553.0, low 4463.0, position -1 , N 42.436658826
date 20110926, 20high 4855.0,20low 4463.0,10high 4821.0 10low 4463.0,Today high 4526.0, low 4372.0, position -1 , N 45.9648258847
date 20110927, 20high 4855.0,20low 4372.0,10high 4804.0 10low 4372.0,Today high 4489.0, low 4423.0, position -1 , N 51.3665845905
date 20110928, 20high 4855.0,20low 4372.0,10high 4802.0 10low 4372.0,Today high 4471.0, low 4392.0, position -1 , N 53.098255361
date 20110929, 20high 4855.0,20low 4372.0,10high 4775.0 10low 4372.0,Today high 4350.0, low 4287.0, position -1 , N 54.3933425929
date 20110930, 20high 4855.0,20low 4287.0,10high 4765.0 10low 4287.0,Today high 4353.0, low 4290.0, position -1 , N 57.7236754633
date 20111010, 20high 4849.0,20low 4287.0,10high 4715.0 10low 4287.0,Today high 4372.0, low 4312.0, position -1 , N 57.9874916901
date 20111011, 20high 4849.0,20low 4287.0,10high 4656.0 10low 4287.0,Today high 4392.0, low 4319.0, position -1 , N 58.0881171056
date 20111012, 20high 4844.0,20low 4287.0,10high 4656.0 10low 4287.0,Today high 4354.0, low 4259.0, position -1 , N 58.8337112503
date 20111013, 20high 4844.0,20low 4259.0,10high 4610.0 10low 4259.0,Today high 4350.0, low 4304.0, position -1 , N 60.6420256878
date 20111014, 20high 4844.0,20low 4259.0,10high 4553.0 10low 4259.0,Today high 4340.0, low 4291.0, position -1 , N 59.9599244034
date 20111017, 20high 4821.0,20low 4259.0,10high 4526.0 10low 4259.0,Today high 4325.0, low 4178.0, position -1 , N 59.4119281832
date 20111018, 20high 4804.0,20low 4178.0,10high 4489.0 10low 4178.0,Today high 4170.0, low 4095.0, position -1 , N 63.7913317741
